verdict	originMatch	band	headword	reading	glossEn	ko_word	ko_origin	ko_definition	id
3	n	3	辛抱	しんぼう	patience, endurance, perseverance	신포(1)	身布	조선 시대에, 양인(良人)이 신역(身役) 대신에 바치던 무명이나 베.	1365930
3	n	3	古豪	こごう	veteran, old-timer, experienced person	고호(1)	古號	사람이나 나라 또는 땅 따위의 옛 이름.	1265370
1	Y	0	簡易	かんい	simple, simplified, easy, plain	간이(3)	簡易	간단하고 편리함. 물건의 내용, 형식이나 시설 따위를 줄이거나 간편하게 하여 이용하기 쉽게 한 상태를 이른다.	1214270
3	n	1	卸売	おろしうり	wholesale, wholesaling	사-매(1)	私매	권력이 있는 자가 사사로이 사람을 때리는 매.	1589540
2	Y	0	歌人	かじん	poet (of tanka poems)	가인(5)	歌人	노래를 잘 부르거나 잘 짓는 사람.	1193340
1	Y	3	不毛	ふもう	barren, sterile, infertile, unproductive (e.g. discussion)	불모(1)	不毛	땅이 거칠고 메말라 식물이 나거나 자라지 아니함.	1495110
1	Y	3	短文	たんぶん	short sentence, short piece of writing (e.g. passage, article, composition)	단문(3)	短文	짧은 글.	1843470
2	Y	3	上品	じょうひん	elegant, refined, polished, stylish	상품(1)	上品	상등의 품위(品位).	1354230
2	Y	0	角度	かくど	angle	각도(1)	角度	생각의 방향이나 관점.	1206190
1	Y	2	同病	どうびょう	the same sickness	동병(1)	同病	같은 병.	1453310
1	Y	2	洋食	ようしょく	Western food, Western dish, Western cooking, Japanized Western cuisine	양식(3)	洋食	서양식 음식이나 식사.	1546000
3	n	0	期待	きたい	expectation, anticipation, hope, promising	기대(1)		무동(舞童)을 따라다니는 여자.	1220570
1	n	1	教習	きょうしゅう	training, instruction	교습(0)	敎習	학문이나 기예 따위를 가르쳐 익히게 함.	1237170
3	n	2	儒教	じゅきょう	Confucianism	유교(1)	有敎	삼시교(三時敎)의 하나. 대승의 법상종, 소승의 구사종의 교의를 이른다. 법상종에서는 모든 존재는 인연에 의하여 성립되므로 실체는 없지만 그것을 구성하는 요소인 법(法)은 있다고 하며, 구사종에서는 물심 현상의 본체가 삼세(三世)를 통하여 실제로 존재한다고 한다.	1329510
1	Y	0	公害	こうがい	pollution, public nuisance, contamination	공해(1)	公害	산업이나 교통의 발달에 따라 사람이나 생물이 입게 되는 여러 가지 피해. 자동차의 매연, 공장의 폐수, 여러 종류의 쓰레기 따위로 인하여 공기와 물이 더럽혀지고 자연환경이 파괴되는 문제 따위를 이른다.	1273420
1	Y	2	共鳴	きょうめい	resonance, sympathy (with a view, idea, etc.)	공명(4)	共鳴	남의 사상이나 감정, 행동 따위에 공감하여 자기도 그와 같이 따르려 함.	1235190
1	Y	3	相思	そうし	mutual affection, mutual love	상사(15)	相思	서로 생각하고 그리워함.	1660790
1	Y	0	格差	かくさ	qualitative difference, disparity, gap	격차(1)	格差	가격이나 자격, 품등 따위의 서로 다른 정도.	1205340
3	n	0	同町	どうちょう	the same town, that town	동정(1)		한복의 저고리 깃 위에 조붓하게 덧대어 꾸미는 하얀 헝겊 오리.	1453110
3	n	1	島々	しまじま	islands	도도(1)		‘도도하다’의 어근.	1594540
3	n	0	書簡	しょかん	letter, note, epistle, correspondence	서간(1)	西間	조선 시대에, 의금부 안의 서쪽에 있던 옥사(獄舍). 주로 가벼운 죄를 지은 관리들을 가두었으며 영조 때에는 미결수를 가두었다.	1343980
3	n	2	手薄	てうす	shorthanded, short of hands, undermanned, insufficient (stock, money, etc.)	수박(1)		박과의 한해살이 덩굴풀. 줄기의 길이는 4~6미터이고 땅 위를 기며, 잎은 어긋나고 3~4개로 깊게 갈라진다. 여름에 연한 누런색 꽃이 핀다. 열매는 크고 둥글며 무게는 5~6kg까지 나가는 것이 보통이다. 열매의 속살은 붉고 달아 식용하고, 씨는 검거나 누런데 차의 재료로도 쓴다. 아프리카가 원산지로 세계 각지에서 재배한다.	1616340
3	n	3	競作	きょうさく	competing (with each other) in creating (composing, drawing, writing, etc.), competition to produce an (artistic, literary, etc.) work	경작(0)	耕作	땅을 갈아서 농사를 지음.	1234120
1	Y	0	肝炎	かんえん	hepatitis	간염(0)	肝炎	간에 생기는 염증을 통틀어 이르는 말. 발열·황달·전신 권태·소화 장애의 증상을 보이는데, 주된 원인은 음식물과 혈액을 통한 바이러스의 감염이며 그 밖에 약물, 알코올, 알레르기 따위가 원인인 것도 있다.	1214640
3	n	3	床上	ゆかうえ	on a floor, above floor level	상상(1)	上上	가장 높은 정도나 등급.	1799250
